//Name, Mass (kg), Radius (km), X, Y, Z, VX, VY, VZ

// Date Jan 1, 2007 00:00:00

// Stars

Sun, 1.9891E+30, 6.96E+05, 0, 0, 0, 0, 0, 0

// PLANETS

Triton, 214.7E+20, 1352.6, 3.805255894215858E+09, -2.383268648145051E+09, -3.885256834880292E+07, -9.994179744301734E-01,  3.252124586860316E+00,  1.423715331348629E+00
Nereid, 2700E+16, 170, 3.803951792666748E+09, -2.375344697878851E+09, -3.817114118197834E+07,  2.413404924717255E+00,  4.080389218316633E+00, -2.244615319937606E-01
Naiad, 19E+16, 29, 3.805286428665074E+09, -2.383039828419897E+09, -3.863754183759534E+07,  1.182126741998539E+01,  1.246540510414118E+01, -7.174534968139907E-01
Thalassa, 35E+16, 40, 3.805264186653681E+09, -2.383055027564908E+09, -3.862947500840068E+07,  1.373178674783381E+01,  6.870860204435230E+00, -3.809706505025122E+00
Despina, 210E+16, 74, 3.805251379466767E+09, -2.382961099489481E+09, -3.859069874784601E+07, -7.602049925176152E+00,  1.241264515826353E+00,  2.911349384549643E+00
Galatea, 212E+16, 79, 3.805235545142642E+09, -2.383064220361953E+09, -3.862110298952556E+07,  1.166928005031679E+01,  1.490618946101999E+00, -4.917531835041002E+00
Larissa, 460E+16, 104, 3.805228610076777E+09, -2.382951205084283E+09, -3.857812642643392E+07, -5.103520723698259E+00, -6.101619083718656E-01,  1.232399566356375E+00
Proteus, 4400E+16, 218, 3.805152524413211E+09, -2.383005286980115E+09, -3.856522174300420E+07,  1.705679560867144E+00, -2.560494614443930E+00, -2.343774694293502E+00

// Pluto
Charon, 1.9E21, 593, 4.177025623969818E+08, -4.746425365543121E+09,  3.872239217153695E+08,  5.380432920485241E+00, -6.345914333946159E-01, -1.396887893018637E+00

// Other

//New Horizons Spacecraft
New Horizons, 465, 0.0025, 3.889639845240042E+08, -2.776325425290876E+09,  8.591044137467742E+07,  5.800631688743152E+00, -1.474205021771248E+01,  5.730906606463755E-01
Comet Halley, 2.2E+14, 11, -3.023805979299419E+09,  3.540218437475406E+09, -1.415220625578161E+09, -5.070506687306474E-01,  2.107751102645823E+00, -4.860581161793094E-01
