2
2011/02/18 17:18:49.7220000,2011/02/15 12:00:00.0000000
Sun,0,0,0,0,0,0
Moon,-127775810.05362807,75091626.74091199,-29795.207495001883,-16.031967503422997,-26.778525686719743,-0.040385750126763008
Mercury,41593935.178045839,-46744970.947110206,-7635785.8567867586,26.71512773434004,34.715223222297041,0.38512488996344391
Venus,-85837748.9106019,-65663437.894332141,4054365.523587801,21.031872451359213,-27.98045991925402,-1.5971371520222808
Earth,-127452719.36587316,74938729.512009382,-1329.775698185432,-15.577292598070043,-25.779760009196156,0.0012483492529842114
Mars,167855713.43153512,-121011180.96088487,-6657454.07300821,15.088935999884947,21.727836454568109,0.084778480172396115
Jupiter,723936317.52798891,153873446.91502634,-16839274.235607721,-2.8798360413839328,13.413215344947206,0.0087202921344505784
Saturn,-1402083216.3159349,-304608821.73677438,61113762.723006718,1.529085280766133,-9.449068345608719,0.1031413292732085
Uranus,3004867325.4476843,2928741.7896620883,-38913065.927886829,-0.05853340297954096,6.50283910883797,0.024468060552645287
Neptune,3817196664.9305797,-2363407185.4401565,-39289486.247110412,2.8230838314915365,4.6629226478697658,-0.1614309503840676
Pluto,440908858.73189712,-4748781084.8279209,380779673.45930731,5.5046578253730187,-0.54170131426902435,-1.5107193293001473
Ceres,305966064.53853756,-315492538.4577744,-66226070.278645031,11.979642479576956,11.378188314097731,-1.8526464095626107
Haumea,-6464292334.2588415,-2004125485.5104144,3510725569.1587195,1.527515045714364,-3.42902171772855,0.27995898746232328
Makemake,-6830099239.2275629,407632660.07065082,3763950411.6827345,-0.55122088413407033,-3.7576247464891623,-0.0834854981476234
Eris,13067586288.957476,5178206704.5592012,-3365253112.4513459,-0.54696230089570885,1.611904850277158,1.560167536557109
Vesta,-56294637.846049637,-316789651.02076232,16368106.032012993,20.656006120241226,-3.9767355403134643,-2.3900722903801954
Sedna,7861234991.374299,10066569254.000179,-2695799243.2770896,-4.0887084759208721,1.3653573833109642,0.26979725296694324
2002 TC302,5495072262.1363125,4064254446.45341,1048308366.4805893,-3.5016038780062635,2.1450631677891128,2.3613841894719094
2007 OR10,11292880871.410753,-6204074163.7122736,-752781297.55920482,2.0988542972854902,1.2559576189450179,1.1753888743493934
Ixion,-1412775730.689739,-5995731742.4124422,-218417445.17951584,4.3042929141405,0.17019159713059751,-1.4340908824987917
Quaoar,-966434235.53664029,-6322675041.8073711,855800012.68376553,4.5156906903564451,-0.48768472335588,0.16737701186168968
Orcus,-5994998799.9835777,3204668582.3649964,-2278768735.6102376,-1.7330821770941691,-3.3172212525514437,-0.61843105160079792
Pallas,78016271.307823911,-406018677.54467005,274093889.87870538,14.61981541838554,-0.16245802304178114,-1.1053933579240978
Phobos,167863202.11528602,-121006950.50849037,-6660821.3079200042,14.226888346691501,23.651764732765084,0.59721871362747214
Deimos,167855874.41667554,-121034533.23046242,-6659706.213470065,16.30063953931483,21.793765726310593,-0.50918473377905871
Io,723523005.98174655,153961432.74596465,-16841815.42703129,-6.4008709940855475,-3.5154867762127364,-0.65020419278399955
Europa,723463605.82009423,153392781.73436615,-16862949.193034157,6.8028589212200741,3.767608006264882,-0.3113943932126696
Ganymede,724956704.97336066,153555736.83954582,-16838303.992959816,0.37507216747469896,23.803453934540109,0.44075052913660234
Callisto,725173631.7337321,152466508.17610958,-16867859.548557952,3.2791150701405924,18.886010780870098,0.26636903297196779
Mimas,-1402241150.5250487,-304513866.91467363,61074483.974806421,-6.2991398672164314,-19.394134512891704,6.31204350215719
Enceladus,-1402300452.2641807,-304514713.41864789,61085451.953236595,-3.5180334248967826,-19.479085191753065,5.8474464192648954
Tethys,-1401943460.1086173,-304844698.42382789,61222885.240631923,11.476137784532611,-4.9642484182908433,-2.9683794318798906
Dione,-1402443170.56901,-304693241.29563677,61193067.335854046,4.4831521911058418,-18.03624975896544,4.3124955420967046
Rhea,-1402485838.9231169,-304894122.22963721,61300391.6349688,6.9635748562954234,-15.43115040705913,2.6586639536832535
Titan,-1403072807.5767429,-303887221.08099204,60839195.934717312,-1.8124009627162607,-13.100541701564223,2.3185218155867191
Iapetus,-1399962998.3225567,-307399399.77358156,61340354.703999572,4.03678534890256,-7.5160476014995421,-0.853753753508884
Ariel,3004721650.4189467,2943629.3911398645,-39035790.776225038,-3.4210838621406077,7.8145500657377776,4.1805541197891047
Umbriel,3004682545.991416,2942854.3064312292,-39103151.505202271,-3.2566729198617028,7.6469830498668978,3.2398336461115571
Titania,3004638139.9489188,2926990.8192409831,-39284113.224128507,-3.0653085137056948,7.42134968465368,1.8694272982737068
Oberon,3004296796.9495029,3047377.847355166,-38950904.061005875,-0.17076789418273017,6.969088127497205,3.1368347973831274
Miranda,3004943890.6341457,2898446.9577755523,-39013484.081011638,-5.1391256657818323,7.560183135804742,-4.1791863191381555
Triton,3816896929.4815431,-2363451264.0969505,-39104878.882028908,3.8460940436414557,8.1310877970283375,2.3275681666177723
Nereid,3814436528.1524515,-2359354528.1333213,-39175690.049177423,2.6557348547394457,3.4342483720423438,-0.25330877524003653
Larissa,3817232855.1861682,-2363343655.7933326,-39281885.443017907,-4.8163924020549018,8.483034521750632,4.3255489636941018
Proteus,3817278492.2343168,-2363469453.5028276,-39346573.683065653,7.5406516713093472,10.649229411492605,0.078818367174441573
Charon,440922439.80294305,-4748767355.3723269,380777986.695487,5.5545444309738521,-0.61619935852120644,-1.71791389969993
New Horizons,413359698.44693744,-2838237158.2030878,88318386.1321233,5.7900920058036247,-14.673492588125352,0.57096982540210561
