91793,4153,,10.58690973,-39.5625967,256.4102564,5.50,3.015,U,0,Ant,0
90610,4104,,10.4525433,-31.06780228,112.35955060000002,4.28,1.429,alf,0,Ant,0
90972,4118,,10.49316621,-30.60707101,147.4926254,5.57,-0.041,del,0,Ant,0
82150,3765,,9.48742707,-35.9513478,214.5922747,4.51,1.408,eps,0,Ant,0
82383,3780,,9.51280042,-31.88917107,114.15525109999996,5.75,0.066,zet,1,Ant,0
82513,3789,,9.52560908,-31.87183113,114.8105626,5.91,0.258,zet,2,Ant,0
86629,3947,,9.98120556,-35.89093311,32.605151609999986,5.23,0.300,eta,0,Ant,0
84367,3871,,9.73670284,-27.76956287,117.78563020000001,4.78,0.516,the,0,Ant,0
94890,4273,,10.94527675,-37.1374629,60.97560976,4.60,1.006,iot,0,Ant,0
131109,5540,,14.96476594,-76.66261622,131.23359579999996,5.37,1.442,R,0,Aps,0
129078,5470,,14.79770171,-79.04471242,126.1034048,3.83,1.433,alf,0,Aps,0
149324,6163,,16.71817212,-77.51657182,48.332527790000022,4.23,1.060,bet,0,Aps,0
147675,6102,,16.55762893,-78.89695917,48.923679059999984,3.86,0.923,gam,0,Aps,0
145366,6020,,16.33912085,-78.69565609,234.741784,4.68,1.680,del,1,Aps,0
145388,6021,,16.34079548,-78.66742066,203.25203250000004,5.27,1.413,del,2,Aps,0
124771,5336,,14.37311027,-80.108911,168.9189189,5.06,-0.108,eps,0,Aps,0
156277,6417,,17.36653743,-67.7706496,95.602294459999968,4.76,1.194,zet,0,Aps,0
123998,5303,,14.30388069,-81.00760147,42.80821918,4.89,0.243,eta,0,Aps,0
122250,5261,,14.08891702,-76.79667632,100.70493450000005,5.69,1.239,the,0,Aps,0
156190,6411,,17.36829971,-70.12317887,350.87719299999992,5.39,-0.042,iot,0,Aps,0
137387,5730,,15.52522795,-73.38954647,312.5,5.40,-0.146,kap,1,Aps,0
138800,5782,,15.6725997,-73.44663458,225.22522520000015,5.64,-0.040,kap,2,Aps,0
181333,7331,,19.32759598,12.37463918,106.4962726,5.53,0.265,A,0,Aql,0
171443,6973,,18.58678829,-8.24330819,53.418803420000032,3.85,1.317,,0,Aql,0
172748,7020,,18.7045617,-9.05255357,57.339449539999968,4.70,0.358,,0,Aql,0
173009,7032,,18.7253445,-8.27524299,160.25641029999986,4.88,1.112,,0,Aql,0
173764,7063,,18.7862437,-4.74782871,211.41649050000015,4.22,1.087,,0,Aql,0
175751,7149,,18.95100947,-5.84621426,63.411540900000027,4.83,1.057,,0,Aql,0
176232,7167,,18.97970098,13.90677273,74.34944238,5.91,0.251,,0,Aql,0
176303,7172,,18.98492467,13.62254853,47.641734159999956,5.27,0.573,,0,Aql,0
178125,7248,,19.1162787,11.07130501,155.5209953,5.07,-0.055,,0,Aql,0
178596,7266,,19.14997707,6.07339716,43.554006969999996,5.23,0.346,,0,Aql,0
