// Improperly altering this file can cause SolarMax to malfunction

// Baseline Date
2011/04/01 12:00:00.0000000

// Name, X, Y, Z, VX, VY, VZ
Sun,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
Mercury, -5.365249653446594E+07,  1.226702721999787E+07,  5.925217593780334E+06, -2.095432953436852E+01, -4.539762374237970E+01, -1.786525252369913E+00,
Venus,  2.604890088122429E+07, -1.056494448412878E+08, -2.950744656247616E+06,  3.376758659561357E+01,  8.263879266954335E+00, -1.835614379907808E+00,
Earth, -1.466042251336229E+08, -2.918588336746934E+07,  7.874485036339611E+02,  5.329478803896920E+00, -2.933990964725334E+01,  6.318697785552274E-04,
Mars,  2.044153611586596E+08, -3.347116652561218E+07, -5.720851269297870E+06,  4.841620953919215E+00,  2.598207693897250E+01,  4.255451884269057E-01,
Jupiter,  7.120075314464337E+08,  2.019284624238907E+08, -1.677188236415070E+07, -3.727813288770332E+00,  1.320269334032780E+01,  2.858762904164713E-02,
Saturn, -1.396159720268901E+09, -3.386279967048533E+08,  6.147015139392662E+07,  1.753723572244735E+00, -9.399375075273790E+00,  9.442615778673735E-02,
Uranus,  3.004558207112506E+09,  2.640168193554036E+07, -3.882189576769706E+07, -1.124232314595227E-01,  6.502539398911023E+00,  2.557343086883002E-02,
Neptune,  3.827350080349054E+09, -2.346550641950181E+09, -3.986993711187685E+07,  2.801719430396146E+00,  4.675383240924828E+00, -1.607871449784595E-01,
Pluto,  4.607981445170549E+08, -4.750727122120584E+09,  3.752364673754635E+08,  5.509173593036817E+00, -5.408617949901643E-01, -1.556766245037066E+00,
Moon, -1.462077263598125E+08, -2.926774243026146E+07,  3.588185237251967E+04,  5.531841940638000E+00, -2.839115707828544E+01,  1.340463366931566E-02,
Phobos,  2.044225346690807E+08, -3.346631892920795E+07, -5.724096414282408E+06,  3.841014821970859E+00,  2.781838495604200E+01,  9.948197532764702E-01,
Deimos,  2.044272048515134E+08, -3.348992534221338E+07, -5.728461934451409E+06,  5.843634573584669E+00,  2.678558573432735E+01,  5.141017816724158E-03,
Io,  7.123697379926423E+08,  2.021468087371042E+08, -1.675898337378632E+07, -1.261905564998521E+01,  2.801529808972379E+01,  4.406114809691815E-01,
Europa,  7.114862337988945E+08,  2.023479952101086E+08, -1.675878786652675E+07, -1.246187469917339E+01,  2.558407432881382E+00, -4.844267517256325E-01,
Ganymede,  7.122785185611097E+08,  2.008959916545939E+08, -1.680728280089498E+07,  6.817000363736519E+00,  1.596842175234924E+01,  2.662236950869001E-01,
Callisto,  7.106981206308846E+08,  2.032939798653167E+08, -1.674560914978292E+07, -9.649559195397288E+00,  7.590739177309009E+00, -2.302549926533612E-01,
Mimas, -1.396160421437659E+09, -3.387930434069022E+08,  6.156212409952030E+07,  1.574538274946163E+01, -1.000900005113376E+01, -1.106331932513770E+00,
Enceladus, -1.395942699864399E+09, -3.387214074451248E+08,  6.149811318879455E+07,  6.874324638283784E+00,  6.250102475945811E-01, -5.654690376370437E+00,
Tethys, -1.395873475071660E+09, -3.386968031123036E+08,  6.148326783527379E+07,  4.336351547155375E+00,  3.541985906722938E-01, -5.105315943534597E+00,
Dione, -1.396012973408995E+09, -3.389410596672281E+08,  6.161978964149845E+07,  1.096045307027966E+01, -6.277245802173725E+00, -2.438061319187417E+00,
Rhea, -1.395825493853338E+09, -3.390021905622798E+08,  6.163060169891898E+07,  8.271096560521354E+00, -4.850598834900385E+00, -2.889676956629477E+00,
Titan, -1.394980607233643E+09, -3.385673170514804E+08,  6.132218341331041E+07,  1.238055837747010E+00, -4.316339585736536E+00, -2.478221136893771E+00,
Hyperion, -1.395637099642354E+09, -3.374247654615213E+08,  6.081477258340803E+07, -3.137157544763151E+00, -7.912572968324812E+00, -1.624889687996873E-01,
Iapetus, -1.399000882718324E+09, -3.363733118735888E+08,  6.151409259140562E+07, -1.943149186887010E-01, -1.175950170572393E+01,  1.038320239904559E+00,
Ariel,  3.004741287262268E+09,  2.636744255058122E+07, -3.877977028783111E+07,  9.382160445086142E-01,  5.535340422445010E+00, -5.296536168323368E+00,
Umbriel,  3.004308037257710E+09,  2.644588331847120E+07, -3.889782960228980E+07, -1.293559486847950E+00,  7.375599903265628E+00,  4.469803756975121E+00,
Titania,  3.004833320042824E+09,  2.629628635332128E+07, -3.914297368249834E+07, -2.836606874156775E+00,  6.761605627632744E+00, -2.389297958576003E+00,
Oberon,  3.004089590881057E+09,  2.654852652781600E+07, -3.850502522588798E+07,  1.649835689685980E+00,  6.489361983170590E+00,  2.630832662413072E+00,
Miranda,  3.004520462271290E+09,  2.642258642675463E+07, -3.869966862216556E+07,  6.031847756113497E+00,  4.976397066973819E+00,  2.181307393198123E+00,
Triton,  3.827170340190496E+09, -2.346407443907958E+09, -3.959967772218966E+07,  5.939958101716641E+00,  7.707191195626727E+00,  3.199215103007309E-01,
Nereid,  3.827658921461446E+09, -2.347977294436730E+09, -3.994810399107063E+07,  5.645399447554445E+00,  4.728614129714870E+00,  6.623646844508224E-03,
Naiad,  3.827345604095541E+09, -2.346504931518622E+09, -3.985521492320693E+07, -8.486133391641181E+00,  2.549258156787920E+00,  2.995846162048175E+00,
Thalassa,  3.827333989964089E+09, -2.346508481230393E+09, -3.984825213809776E+07, -7.426663552175390E+00, -4.597025234455986E-01,  2.232907833734017E+00,
Despina,  3.827337259980784E+09, -2.346600056862653E+09, -3.988233276730967E+07,  1.308094240971396E+01,  3.193934175146611E+00, -4.892082069805666E+00,
