// Improperly altering this file can cause SolarMax to malfunction

// Baseline Date
2011/03/01 12:00:00

// Name, X, Y, Z, VX, VY, VZ
Proteus,3.819714008746143E+09, -2.359070186624990E+09, -3.939646752867007E+07,  2.358878953490938E+00, -2.529170137906989E+00, -2.623624082701976E+00
Charon,4.460332641474643E+08, -4.749289398414235E+09,  3.793652239043655E+08,  5.618872041618679E+00, -3.889194145596955E-01, -1.475038763692229E+00
Hektor,-1.191567391821041E+07,  7.429661417733324E+08,  2.319381224598254E+08, -1.303805048402838E+01, -1.001739379233046E-01, -1.297743580204647E+00
New Horizons,4.187507559379233E+08, -2.851895262187691E+09,  8.884990058138502E+07,  5.787764285384724E+00, -1.465873419132985E+01,  5.705136480271031E-01
Comet Halley,-3.026368928680838E+09,  3.550999412809564E+09, -1.417697783931157E+09, -4.900688305469998E-01,  2.086571847141254E+00, -4.776708357092511E-01
Apophis,2.165440277331420E+07,  1.406109344745370E+08, -6.931715819688424E+06, -2.827651527851752E+01,  1.002692141886136E+01, -1.212362816838901E+00
Voyager I,-3.791728480100500E+09, -1.375230492270811E+10,  9.956169076882944E+09, -2.092651968257229E+00, -1.371305697610504E+01,  9.914206225320939E+00
Voyager II,3.882634812126741E+09, -1.115223870694863E+10, -7.826443629841593E+09,  4.271595277045250E+00, -9.488614148310587E+00, -1.144227257641211E+01
Cassini Spacecraft, -1.400324940173058E+09, -3.107861476927627E+08,  5.982788899780545E+07,  2.443929106140928E-01, -8.031014161863597E+00, -4.917216628290180E-01
Spitzer Space Telescope, -6.857733266095956E+07,  1.338064452269248E+08,  9.778536847247928E+05, -2.647010092574412E+01, -1.377701713777638E+01, -5.598359623679636E-01
