// Improperly altering this file can cause SolarMax to malfunction

// Original Ephemeris: Version is Zero
0

// Baseline Date
2011/02/19 12:00:00.0000000

// Name, X, Y, Z, VX, VY, VZ
Sun,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,
Mercury,  4.334004386747021E+07, -4.435408713065621E+07, -7.600655259088101E+06,  2.518076703840036E+01,  3.636061959063486E+01,  6.603488277483134E-01,
Venus, -8.440266797742440E+07, -6.752995744428748E+07,  3.945971886747416E+06,  2.163251828315262E+01, -2.751052159037026E+01, -1.625364206801972E+00,
Earth, -1.284888165280808E+08,  7.319764145022565E+07, -1.252727973859757E+03, -1.522630191313729E+01, -2.598346013949869E+01,  1.039374555812600E-03,
Mars,  1.688650585090726E+08, -1.195454643138210E+08, -6.651525763330668E+06,  1.491953110684436E+01,  2.184887343473036E+01,  9.147449724740842E-02,
Jupiter,  7.237420264523690E+08,  1.547755862012024E+08, -1.683867773275487E+07, -2.895736723602935E+00,  1.340783043475744E+01,  9.017441874794585E-03,
Saturn, -1.401980224495536E+09, -3.052444280074344E+08,  6.112069376234496E+07,  1.532969224884127E+00, -9.448027228604138E+00,  1.029265805218231E-01,
Uranus,  3.004863317066051E+09,  3.366206574164389E+06, -3.891135691803393E+07, -5.969346850697489E-02,  6.502929845799602E+00,  2.489772825612935E-02,
Neptune,  3.817386542872784E+09, -2.363093499946872E+09, -3.930032944542146E+07,  2.822194194676950E+00,  4.663306729228308E+00, -1.609046166029053E-01,
Pluto,  4.412798054718711E+08, -4.748817212202673E+09,  3.806773933724606E+08,  5.517631529005253E+00, -5.328363928162353E-01, -1.519903117959541E+00,
Moon, -1.288359579172128E+08,  7.328080966293715E+07, -3.193501865633950E+04, -1.548420095201678E+01, -2.705095459106074E+01, -2.300809172055729E-02,
Phobos,  1.688566018187952E+08, -1.195471972513894E+08, -6.647561796871997E+06,  1.521228172883686E+01,  1.977419601926478E+01, -1.550969498025934E-01,
Deimos,  1.688507983944793E+08, -1.195289402003419E+08, -6.642926930054322E+06,  1.402831870127465E+01,  2.089656140349421E+01,  4.442060163092592E-01,
Io,  7.240991938896273E+08,  1.545534933253815E+08, -1.684174791054000E+07,  6.328241403476750E+00,  2.812960533077192E+01,  6.673217250842622E-01,
Europa,  7.241141138065012E+08,  1.542109172156829E+08, -1.685899396698910E+07,  8.459158748465679E+00,  2.093802171170055E+01,  4.120671223821928E-01,
Ganymede,  7.247341030912828E+08,  1.551758648768521E+08, -1.681105895349974E+07, -6.948594279791232E+00,  2.350372235491595E+01,  3.374457945060048E-01,
Callisto,  7.253340587214195E+08,  1.537925711901838E+08, -1.684893896394630E+07,  1.412390505523399E+00,  2.044622196381926E+01,  2.921531628206511E-01,
Mimas, -1.401983867994308E+09, -3.050837443998304E+08,  6.103144038025473E+07, -1.287258368256047E+01, -8.939528548013865E+00,  1.087530446120217E+00,
Enceladus, -1.401743034937256E+09, -3.052384995168134E+08,  6.109464994672257E+07,  6.693480676517892E-01,  1.719087252785727E+00, -5.665764283445137E+00,
Tethys, -1.401970811818460E+09, -3.049823341929404E+08,  6.098635078722280E+07, -9.784900497966440E+00, -8.764452188542510E+00,  6.474305048111546E-01,
Dione, -1.401791974494360E+09, -3.055406004560133E+08,  6.125745395233967E+07,  1.018799240336299E+01, -5.320468576140666E+00, -2.902540542819367E+00,
Rhea, -1.401869013784770E+09, -3.057064298467330E+08,  6.134824288828306E+07,  9.795334439685675E+00, -8.172970296087749E+00, -1.363373166422751E+00,
Titan, -1.403148766646199E+09, -3.047960588064806E+08,  6.100486512325963E+07, -4.091387951189513E-01, -1.385852500285998E+01,  2.571643080680940E+00,
Hyperion, -1.402205437823884E+09, -3.039904502400982E+08,  6.051454135763135E+07, -3.626704851352141E+00, -1.030029218682687E+01,  1.045558542447861E+00,
Iapetus, -1.399695619945872E+09, -3.078995235215256E+08,  6.128250975945652E+07,  3.910891519205710E+00, -7.354266891199875E+00, -8.654076210177419E-01,
Ariel,  3.004806833659503E+09,  3.403281236602385E+06, -3.873295838055076E+07,  5.075709773299623E+00,  5.628717048870149E+00,  1.828873535811868E+00,
Umbriel,  3.004626146613582E+09,  3.431677227416240E+06, -3.881299083788230E+07,  1.775121218549388E+00,  6.697340245029240E+00,  4.330855029006162E+00,
Titania,  3.004477610524356E+09,  3.423253674449239E+06, -3.910804681060112E+07, -1.587163451277747E+00,  7.288291298851069E+00,  3.234876857639055E+00,
Oberon,  3.004322571939126E+09,  3.507792051841369E+06, -3.874194396467132E+07,  9.275824915234766E-01,  6.711677314506990E+00,  3.006833134585838E+00,
Miranda,  3.004820780150850E+09,  3.388673300245205E+06, -3.879089307134411E+07,  5.997171883770645E+00,  5.014898375750093E+00,  2.434212231239304E+00,
Triton,  3.817245993429691E+09, -2.362915844784476E+09, -3.902731515893435E+07,  6.253954042021479E+00,  7.400875833113582E+00, -1.755999201164249E-01,
Nereid,  3.814615533071085E+09, -2.359124030295287E+09, -3.919274483429551E+07,  2.666331819579260E+00,  3.418547140432022E+00, -2.537440113319944E-01,
Larissa,  3.817324749311402E+09, -2.363131778574616E+09, -3.928848623685455E+07,  6.744196634993645E+00, -2.998209318853410E+00, -4.480200329120380E+00,
Proteus,  3.817290307747812E+09, -2.363159387050684E+09, -3.928449942148101E+07,  6.220546225854892E+00, -1.152625074577706E+00, -3.722762701854720E+00,
